VVVHS,S2REP,DpRVIVV,AWEIsh,BAI,VVVHD,agb
-33.20880059507247,719.4159383111296,2.437193109037388,-0.6193485682509068,30.77578594765952,7.259329389781202,10.0
-32.70676029773929,710.4343905967792,2.3245521730677448,-0.9474737548861542,8.376392277924523,5.307525064318559,3.99
-42.56613802712825,710.9526272291655,2.2100257443546605,-0.7997273744684567,12.118949246403488,4.469992411725418,7.48
-38.219847107139046,712.5276428992236,2.359839365339004,-0.833311760604707,10.642084799172409,6.87650276319334,7.74
-42.3422277772498,716.2071547592653,2.274078225649389,-0.8762905510436187,12.58326283102462,5.802541329615458,9.35
-38.50200627987705,712.3905258508838,2.463222156292952,-0.7070780925901557,24.7668707713585,8.917491185284714,5.86
-27.10055284082928,712.7531170643904,2.407680187915115,-0.5071568509351951,52.16266920230482,5.5241792373763925,26.05
-31.97321804566664,718.7883893090269,2.496348458258064,-0.4995318588300181,40.24361098455748,7.93492874125778,5.36
-26.4183756883322,717.7931624230946,2.2276783205736184,-0.7354253505739855,21.77225482486657,3.007445704501192,34.86
-35.19777682933524,712.6887314143171,2.1561260090615018,-0.8393246051884244,12.35663454304413,2.747644212100756,3.74
-36.15174592139073,712.1458761542069,2.277862227315893,-0.6518733086680775,31.70368045232962,5.0226023215379385,6.75
-25.672505131740596,715.7428824716767,2.487752123330937,-0.5157673561935919,45.686657880144864,6.260909444615429,41.96
-39.764597599932856,714.107609507222,2.2633944067187786,-0.9157211185074772,11.885793535395486,5.236886296622636,0.0
-43.14596654052828,711.4037715758824,2.3477073596114617,-0.976968154781283,10.000467533760634,7.501085051845777,0.0
-41.83734132044603,699.4446400395157,2.2061027197516365,-0.7970312970379988,7.469186267833621,4.311394916660724,0.0
-29.509126825525215,716.1104205618539,2.327799754472242,-0.5613710225665243,55.74821053729569,4.836542264048708,38.22
-33.08687576827513,712.4496279321693,2.15396747470328,-0.8996563746148939,11.524744766546029,2.5471513539312323,4.86
-37.75830062051878,711.4154385220542,2.3955867744851047,-0.482670796242322,82.62493587792272,7.468342176254975,10.27
-38.798124063978534,712.5579019958966,2.280725906624731,-0.9047977890309016,8.589073873069363,5.4458192765995825,26.94
-34.290355682802556,716.8188506385974,2.3013157346926896,-0.7302064705531549,18.201243982259346,5.166111857718645,2.22
